LotFrontage,LotArea,Utilities,BldgType,HouseStyle,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MSSubClass_MSZoning,Street_Alley,LandContour_LandSlope,LotShape_LotConfig,Neighborhood_Condition1_Condition2,OverallQual_OverallCond,"SUB(YearRemodAdd, YearBuilt)","SUB(NOW, YearBuilt)","SUB(NOW, YearRemodAdd)",RoofStyle_RoofMatl,Exterior1st_Exterior2nd,ExterQual_ExterCond,BsmtQual_BsmtCond_BsmtExposure_BsmtFinType1_BsmtFinType2,Heating_HeatingQC,KitchenAbvGr_KitchenQual,Fireplaces_FireplaceQu,GarageType_GarageYrBlt_GarageFinish_GarageCars_GarageArea_GarageQual_GarageCond,OpenPorchSF_EnclosedPorch_3SsnPorch_ScreenPorch,"DATEDIFF(NOW, YrSold_MoSold)",SaleType_SaleCondition,"ADD(1stFlrSF, 2ndFlrSF)","DIVIDE(2ndFlrSF, 1stFlrSF)","DIVIDE(1stFlrSF, LotArea)","DIVIDE(2ndFlrSF, LotArea)","DIVIDE(ADD(1stFlrSF, 2ndFlrSF), LotArea)"
70.0,11200,0,0,1,1,0.0,1,906,0,134,1040,0,0,1040,0,0,1040,1,0,1,0,3,5,0,0,0,0,-1,-1,-1,0,1,0,0,0,9,3,0,54,54,1,3,1,9,0,1,0,10,1,4010,0,1040,0.0,0.09285714285714286,0.0,0.09285714285714286
85.0,11924,0,0,0,2,286.0,0,998,0,177,1175,0,0,1182,1142,0,2324,1,0,3,0,4,11,0,0,147,0,-1,-1,-1,0,0,0,0,2,10,6,1,14,13,1,5,2,10,0,3,4,11,10,4590,2,2324,0.9661590524534687,0.09912780945991279,0.09577323045957732,0.1949010399194901
,12968,0,0,1,1,0.0,1,737,0,175,912,0,0,912,0,0,912,1,0,1,0,2,4,0,0,140,0,-1,-1,-1,0,1,0,0,6,9,5,0,57,57,1,6,1,11,2,1,0,12,11,3797,0,912,0.0,0.0703269586674892,0.0,0.0703269586674892
91.0,10652,0,0,1,2,306.0,0,0,0,1494,1494,0,0,1494,0,0,1494,0,0,2,0,3,7,0,0,160,0,-1,-1,-1,0,1,0,0,2,0,0,1,13,12,0,0,0,12,0,0,2,13,12,4194,2,1494,0.0,0.14025535110777318,0.0,0.14025535110777318
,10920,0,0,1,0,212.0,1,733,0,520,1253,0,0,1253,0,0,1253,1,0,1,1,2,5,0,0,0,0,-1,1,-1,0,1,0,0,3,11,7,0,59,59,1,1,1,13,2,1,5,14,13,3920,0,1253,0.0,0.11474358974358974,0.0,0.11474358974358974
51.0,6120,0,0,3,1,0.0,2,0,0,832,832,0,2,854,0,0,854,0,0,1,0,2,5,0,0,48,0,-1,2,-1,0,6,0,0,5,12,8,72,90,18,0,7,1,7,0,1,0,15,14,4225,0,854,0.0,0.13954248366013072,0.0,0.13954248366013072
,11241,0,0,1,0,180.0,1,578,0,426,1004,0,0,1004,0,0,1004,1,0,1,0,2,5,0,0,0,0,-1,-1,0,700,1,0,0,7,11,9,0,49,49,0,7,1,11,0,1,1,16,1,3251,0,1004,0.0,0.08931589716217418,0.0,0.08931589716217418
72.0,10791,0,2,1,1,0.0,4,0,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,6,0,0,0,0,-1,-1,0,500,7,0,0,0,9,10,0,52,52,0,1,1,14,2,2,0,17,1,4498,0,1296,0.0,0.12010008340283569,0.0,0.12010008340283569
66.0,13695,0,0,1,1,0.0,0,646,0,468,1114,0,0,1114,0,0,1114,1,0,1,1,3,6,0,0,0,0,-1,-1,-1,0,1,0,0,0,13,3,0,15,15,0,0,1,8,0,0,0,18,15,3889,0,1114,0.0,0.08134355604235122,0.0,0.08134355604235122
70.0,7560,0,0,1,1,0.0,1,504,0,525,1029,0,0,1339,0,0,1339,0,0,1,0,3,6,1,0,0,0,-1,0,-1,0,1,0,0,0,11,5,7,61,54,1,8,1,15,2,1,0,19,1,3555,3,1339,0.0,0.17711640211640212,0.0,0.17711640211640212
101.0,14215,0,0,0,0,380.0,0,0,0,1158,1158,0,0,1158,1218,0,2376,0,0,3,1,4,9,0,0,240,0,-1,-1,-1,0,0,0,0,3,10,2,1,14,13,0,0,0,16,0,0,2,20,16,4467,2,2376,1.0518134715025906,0.08146324305311291,0.08568413647555399,0.1671473795286669
57.0,7449,0,0,3,1,0.0,0,0,0,637,637,0,1,1108,0,0,1108,0,0,1,0,3,6,0,1,0,0,-1,2,-1,0,6,1,1,0,14,11,20,89,69,0,7,1,7,0,0,2,21,8,4255,0,1108,0.0,0.14874479795945764,0.0,0.14874479795945764
75.0,9742,0,0,1,0,281.0,0,0,0,1777,1777,0,0,1795,0,0,1795,0,0,2,0,3,7,0,0,171,0,-1,-1,-1,0,1,0,0,0,0,2,0,17,17,1,0,0,17,0,0,2,22,17,3797,0,1795,0.0,0.18425374666392938,0.0,0.18425374666392938
44.0,4224,0,3,1,1,0.0,0,840,0,200,1040,0,0,1060,0,0,1060,1,0,1,0,3,6,0,0,100,0,-1,-1,-1,0,8,0,0,0,15,12,0,43,43,0,9,1,0,2,1,1,23,18,4255,0,1060,0.0,0.2509469696969697,0.0,0.2509469696969697
,8246,0,0,1,1,0.0,1,188,668,204,1060,0,0,1060,0,0,1060,1,0,1,0,3,6,0,0,406,0,-1,0,-1,0,1,0,0,2,9,13,33,51,18,0,10,3,18,0,0,1,24,19,3190,0,1060,0.0,0.12854717438758187,0.0,0.12854717438758187
110.0,14230,0,0,1,2,640.0,0,0,0,1566,1566,0,0,1600,0,0,1600,0,0,2,0,3,7,0,0,0,0,-1,-1,-1,0,1,0,0,5,10,2,0,12,12,0,0,0,17,0,0,2,25,20,3494,0,1600,0.0,0.11243851018973998,0.0,0.11243851018973998
60.0,7200,0,0,1,1,0.0,1,234,486,180,900,0,0,900,0,0,900,0,1,1,0,3,5,0,0,222,0,-1,-1,-1,0,1,0,0,5,11,12,49,68,19,0,7,1,19,2,0,0,26,21,3190,0,900,0.0,0.125,0.0,0.125
98.0,11478,0,0,1,2,200.0,0,1218,0,486,1704,0,0,1704,0,0,1704,1,0,2,0,3,7,0,0,0,0,-1,-1,-1,0,1,0,0,0,10,2,1,12,11,0,0,0,10,0,0,2,27,22,3190,0,1704,0.0,0.14845791949817042,0.0,0.14845791949817042
47.0,16321,0,0,1,1,0.0,1,1277,0,207,1484,0,0,1600,0,0,1600,1,0,1,0,2,6,0,0,288,0,-1,-1,-1,0,1,0,0,7,11,5,40,62,22,0,1,1,20,2,1,4,28,23,4437,0,1600,0.0,0.09803320874946388,0.0,0.09803320874946388
60.0,6324,0,0,1,1,0.0,2,0,0,520,520,1,0,520,0,0,520,0,0,1,0,1,4,0,0,49,0,-1,-1,-1,0,9,0,0,2,16,14,23,92,69,0,1,1,7,3,4,0,29,24,3920,0,520,0.0,0.08222643896268185,0.0,0.08222643896268185
50.0,8500,0,0,0,1,0.0,2,0,0,649,649,1,0,649,668,0,1317,0,0,1,0,3,6,0,1,0,0,-1,0,-1,0,10,2,0,0,17,15,30,99,69,2,11,4,7,2,1,0,30,25,3859,0,1317,1.029275808936826,0.07635294117647058,0.07858823529411765,0.15494117647058825
,8544,0,0,1,1,0.0,1,0,0,1228,1228,0,0,1228,0,0,1228,0,0,1,1,3,6,0,0,0,0,-1,0,-1,0,1,0,0,7,9,5,40,53,13,0,3,1,7,1,0,0,31,26,3889,0,1228,0.0,0.14372659176029962,0.0,0.14372659176029962
85.0,11049,0,0,1,1,0.0,0,0,0,1234,1234,0,0,1234,0,0,1234,0,0,2,0,3,7,0,0,0,0,-1,-1,-1,0,1,0,0,5,0,2,0,12,12,0,0,0,16,0,0,0,32,27,4041,0,1234,0.0,0.11168431532265363,0.0,0.11168431532265363
70.0,10552,0,0,1,1,0.0,1,1018,0,380,1398,0,0,1700,0,0,1700,0,1,1,1,4,6,0,0,0,0,-1,-1,-1,0,1,0,0,2,11,3,0,60,60,1,11,1,9,1,0,2,33,28,3220,0,1700,0.0,0.16110689916603488,0.0,0.16110689916603488
60.0,7313,0,3,1,0,246.0,0,1153,0,408,1561,0,0,1561,0,0,1561,1,0,2,0,2,6,0,0,203,0,-1,-1,-1,0,11,0,0,0,10,6,0,14,14,1,1,2,10,0,3,2,34,29,4194,0,1561,0.0,0.21345549022289073,0.0,0.21345549022289073
108.0,13418,0,0,0,2,132.0,0,0,0,1117,1117,0,0,1132,1320,0,2452,0,0,3,1,4,9,0,0,113,0,-1,-1,-1,0,0,0,0,0,10,2,1,15,14,0,0,0,16,0,0,2,35,21,4528,0,2452,1.1660777385159011,0.08436428677895365,0.0983753167387092,0.18273960351766283
112.0,10859,0,0,1,1,0.0,0,0,0,1097,1097,0,0,1097,0,0,1097,0,0,1,1,3,6,0,0,392,0,-1,-1,-1,0,1,0,0,5,0,3,1,25,24,0,0,1,17,0,1,0,36,30,3524,0,1097,0.0,0.10102219357215213,0.0,0.10102219357215213
74.0,8532,0,0,1,0,650.0,1,1213,0,84,1297,0,0,1297,0,0,1297,0,1,1,0,3,5,0,0,0,0,-1,-1,-1,0,1,0,0,0,11,5,36,65,29,1,7,1,9,1,1,1,37,1,3402,0,1297,0.0,0.15201593999062354,0.0,0.15201593999062354
68.0,7922,0,0,1,1,0.0,1,731,0,326,1057,0,0,1057,0,0,1057,1,0,1,0,3,5,0,0,0,0,-1,-1,-1,0,1,0,0,0,11,12,54,66,12,0,0,3,8,2,0,0,38,31,3310,1,1057,0.0,0.13342590254986114,0.0,0.13342590254986114
65.0,6040,0,2,1,1,0.0,0,0,0,0,0,1,3,1152,0,0,1152,0,0,2,0,2,6,0,1,0,0,-1,-1,-1,0,7,0,0,0,18,10,0,64,64,0,12,1,14,2,5,0,39,1,3889,4,1152,0.0,0.19072847682119207,0.0,0.19072847682119207
84.0,8658,0,0,1,0,101.0,1,643,0,445,1088,0,0,1324,0,0,1324,0,0,2,0,3,6,0,0,0,0,-1,1,-1,0,1,0,0,0,11,7,0,54,54,0,7,1,9,0,1,1,40,32,4437,1,1324,0.0,0.15292215292215292,0.0,0.15292215292215292
115.0,16905,0,0,1,1,0.0,1,967,0,383,1350,0,0,1328,0,0,1328,0,1,1,1,2,5,0,2,0,0,-1,-1,-1,0,1,0,0,0,19,5,0,60,60,0,0,3,20,1,1,4,41,33,4225,0,1328,0.0,0.07855664004732328,0.0,0.07855664004732328
,9180,0,0,4,1,0.0,1,747,93,0,840,0,0,884,0,0,884,1,0,1,0,2,5,0,0,240,0,-1,0,-1,0,12,0,0,7,20,12,0,36,36,0,3,1,21,1,0,0,42,1,4072,0,884,0.0,0.0962962962962963,0.0,0.0962962962962963
,9200,0,0,1,1,0.0,1,280,491,167,938,0,0,938,0,0,938,1,0,1,0,3,5,0,0,145,0,-1,0,-1,0,1,0,0,7,0,5,5,44,39,1,0,1,22,2,1,0,43,1,3859,0,938,0.0,0.10195652173913043,0.0,0.10195652173913043
70.0,7945,0,0,1,1,0.0,1,179,506,465,1150,0,2,1150,0,0,1150,1,0,1,0,3,6,0,0,0,0,-1,-1,-1,0,1,0,0,0,11,5,0,60,60,0,13,1,23,0,1,0,44,1,4651,0,1150,0.0,0.144745122718691,0.0,0.144745122718691
61.0,7658,0,3,1,0,412.0,0,456,0,1296,1752,0,0,1752,0,0,1752,1,0,2,0,2,6,0,0,196,0,-1,-1,-1,0,11,0,0,0,10,6,0,14,14,1,1,2,10,0,3,2,45,34,3279,0,1752,0.0,0.2287803604074171,0.0,0.2287803604074171
48.0,12822,0,0,2,1,0.0,0,1351,0,83,1434,0,0,1518,631,0,2149,1,0,1,1,1,6,0,0,168,0,-1,-1,-1,0,3,0,0,7,4,0,0,16,16,0,0,0,10,0,0,6,46,35,3463,1,2149,0.4156785243741766,0.11839026672905943,0.04921229137420059,0.16760255810326002
84.0,11096,0,0,1,1,0.0,0,24,0,1632,1656,0,0,1656,0,0,1656,0,0,2,0,3,7,0,0,0,0,-1,-1,-1,0,13,0,0,0,5,2,0,13,13,0,0,0,4,0,0,0,47,36,4225,0,1656,0.0,0.14924297043979812,0.0,0.14924297043979812
33.0,4456,0,1,0,1,0.0,2,0,0,736,736,0,0,736,716,0,1452,0,0,2,0,2,8,0,1,0,0,-1,-1,-1,0,14,0,0,0,21,10,88,99,11,0,1,1,7,1,6,0,39,37,3524,2,1452,0.9728260869565217,0.1651705565529623,0.1606822262118492,0.3258527827648115
66.0,7742,0,0,1,1,0.0,1,763,0,192,955,0,0,955,0,0,955,1,0,1,0,3,6,0,0,0,0,-1,0,-1,0,1,0,0,0,9,12,0,53,53,0,3,1,13,0,1,0,48,1,4406,0,955,0.0,0.12335313872384397,0.0,0.12335313872384397
,13869,0,0,0,1,0.0,0,182,0,612,794,0,0,794,676,0,1470,0,1,2,0,3,6,0,0,0,0,-1,-1,-1,0,0,0,0,8,22,16,0,22,22,0,0,1,4,1,1,0,49,38,4225,0,1470,0.8513853904282116,0.057249981974187035,0.048741798255101304,0.10599178022928835
52.0,6240,0,0,2,1,0.0,0,0,0,816,816,0,0,816,0,360,1176,0,0,1,0,3,6,0,0,112,0,-1,0,0,400,4,0,0,0,12,16,16,85,69,0,7,1,7,2,1,2,50,1,4528,0,816,0.0,0.13076923076923078,0.0,0.13076923076923078
110.0,8472,0,2,1,1,0.0,1,104,712,0,816,1,0,816,0,0,816,1,0,1,0,2,5,0,0,106,0,-1,-1,-1,0,15,3,2,8,23,3,0,56,56,0,7,5,24,2,1,0,51,1,3190,0,816,0.0,0.09631728045325778,0.0,0.09631728045325778
68.0,50271,0,0,1,1,0.0,1,1810,0,32,1842,0,0,1842,0,0,1842,2,0,0,1,0,5,0,0,857,0,-1,-1,-1,0,1,0,3,2,24,6,6,38,32,3,5,0,25,1,0,2,52,39,4467,0,1842,0.0,0.036641403592528494,0.0,0.036641403592528494
60.0,7134,0,0,5,1,0.0,1,384,0,0,384,0,0,1360,0,0,1360,0,0,1,0,3,6,1,0,0,0,-1,0,-1,0,16,0,2,0,11,3,0,64,64,0,1,1,11,2,1,1,53,22,4375,0,1360,0.0,0.1906363891225119,0.0,0.1906363891225119
100.0,10175,0,0,1,0,272.0,1,490,0,935,1425,0,0,1425,0,0,1425,0,0,2,0,3,7,0,0,0,0,-1,-1,-1,0,1,0,0,2,11,7,0,55,55,0,6,1,13,1,1,2,54,40,3859,0,1425,0.0,0.14004914004914004,0.0,0.14004914004914004
24.0,2645,0,4,0,0,456.0,0,649,0,321,970,0,0,983,756,0,1739,1,0,2,1,3,7,0,0,115,0,-1,-1,-1,0,17,2,0,0,5,2,1,20,19,0,1,0,0,0,0,0,55,1,3463,1,1739,0.7690742624618515,0.3716446124763705,0.2858223062381853,0.6574669187145558
89.0,11645,0,0,0,1,0.0,0,0,0,860,860,0,0,860,860,0,1720,0,0,2,1,3,7,0,0,0,0,-1,-1,-1,0,0,0,0,3,0,0,0,15,15,0,0,0,17,0,0,0,56,41,4559,0,1720,1.0,0.0738514383855732,0.0738514383855732,0.1477028767711464
66.0,13682,0,0,0,0,1031.0,0,0,0,1410,1410,0,0,1426,1519,0,2945,0,0,3,1,3,10,0,0,192,0,-1,-1,-1,0,0,0,4,9,25,17,0,13,13,1,0,2,26,0,0,2,57,42,4498,2,2945,1.065217391304348,0.10422452857769332,0.11102178044145593,0.21524630901914923
60.0,7200,0,0,1,1,0.0,1,632,0,148,780,0,0,780,0,0,780,0,0,1,0,2,4,0,0,196,0,-1,0,-1,0,1,0,1,0,0,12,0,47,47,0,3,1,27,0,1,0,58,1,4041,0,780,0.0,0.10833333333333334,0.0,0.10833333333333334
63.0,13072,0,0,1,1,0.0,0,941,0,217,1158,0,0,1158,0,0,1158,1,0,1,1,3,5,0,0,0,0,-1,-1,-1,0,1,0,0,0,13,7,0,15,15,0,0,1,28,0,0,0,59,22,4651,2,1158,0.0,0.08858629130966952,0.0,0.08858629130966952
60.0,7200,0,0,6,1,0.0,2,0,0,530,530,1,0,581,530,0,1111,0,0,1,0,3,6,0,1,0,0,-1,-1,-1,0,18,0,0,0,14,12,76,99,23,0,1,1,29,2,4,0,60,43,4347,0,1111,0.9122203098106713,0.08069444444444444,0.07361111111111111,0.15430555555555556
44.0,6442,0,3,1,2,178.0,0,24,0,1346,1370,0,0,1370,0,0,1370,0,0,2,0,2,6,0,0,120,0,-1,-1,-1,0,11,0,0,2,10,2,0,13,13,0,0,0,30,0,0,2,61,44,4133,0,1370,0.0,0.21266687364172618,0.0,0.21266687364172618
50.0,10300,0,0,0,1,0.0,2,0,0,576,576,0,0,902,808,0,1710,0,0,2,0,3,9,0,0,12,0,-1,2,-1,0,19,0,1,2,26,4,29,98,69,0,14,1,7,1,1,0,62,45,3220,0,1710,0.8957871396895787,0.08757281553398058,0.07844660194174757,0.16601941747572815
,9375,0,0,0,0,573.0,0,739,0,318,1057,0,0,1057,977,0,2034,1,0,2,1,3,8,0,0,576,0,-1,2,-1,0,0,0,0,0,0,0,1,22,21,0,0,1,0,0,0,0,63,46,3644,0,2034,0.924314096499527,0.11274666666666666,0.10421333333333334,0.21696
76.0,9591,0,0,0,0,344.0,0,0,0,1143,1143,0,0,1143,1330,0,2473,0,0,2,1,4,9,0,0,192,0,-1,-1,-1,0,0,0,0,0,10,2,1,15,14,0,0,0,16,0,0,2,64,47,4133,0,2473,1.1636045494313212,0.11917422583672192,0.1386716713585653,0.2578458971952872
,19900,0,0,1,0,287.0,1,912,0,1035,1947,0,0,2207,0,0,2207,1,0,2,0,3,7,1,0,301,0,-1,-1,-1,0,1,0,0,0,27,0,19,49,30,0,10,1,31,2,1,2,65,1,3129,0,2207,0.0,0.11090452261306533,0.0,0.11090452261306533
72.0,10665,0,0,1,0,167.0,0,1013,0,440,1453,0,0,1479,0,0,1479,1,0,2,0,3,7,0,0,144,0,-1,-1,-1,0,1,0,0,2,0,0,0,16,16,0,0,0,4,0,0,0,66,48,4255,0,1479,0.0,0.13867791842475385,0.0,0.13867791842475385
47.0,4608,0,0,1,1,0.0,1,0,0,747,747,0,0,747,0,0,747,0,0,1,0,2,4,0,0,0,0,-1,-1,-1,0,9,0,0,5,7,14,5,74,69,0,1,3,7,2,1,0,67,1,3159,0,747,0.0,0.162109375,0.0,0.162109375
81.0,15593,0,0,2,1,0.0,1,603,0,701,1304,0,0,1304,983,0,2287,0,0,2,0,3,7,0,0,0,0,-1,-1,-1,0,3,0,0,5,28,18,0,66,66,0,15,0,13,4,1,1,68,49,4590,0,2287,0.7538343558282209,0.08362726864618739,0.06304110818957225,0.14666837683575965
95.0,13651,0,0,1,0,1115.0,1,1880,0,343,2223,0,0,2223,0,0,2223,1,0,2,0,3,8,0,0,300,0,-1,-1,-1,0,1,0,0,2,11,4,0,46,46,0,10,3,1,0,1,4,69,1,4375,0,2223,0.0,0.16284521280492273,0.0,0.16284521280492273
69.0,7599,0,0,1,1,0.0,1,565,0,280,845,0,0,845,0,0,845,1,0,1,0,2,4,0,0,0,0,-1,-1,-1,0,1,0,0,5,4,14,24,37,13,0,6,1,11,2,1,0,70,1,4255,0,845,0.0,0.11119884195288854,0.0,0.11119884195288854
74.0,10141,0,0,0,0,40.0,0,0,0,832,832,0,0,885,833,0,1718,0,0,2,1,3,7,0,0,0,0,-1,-1,-1,0,0,0,0,3,22,0,0,21,21,0,0,1,17,1,1,1,71,50,3341,0,1718,0.9412429378531073,0.0872695000493048,0.08214180061137955,0.16941130066068436
85.0,10200,0,0,1,0,104.0,1,320,362,404,1086,0,0,1086,0,0,1086,1,0,1,0,3,6,0,0,0,0,-1,1,-1,0,1,0,0,0,11,12,49,65,16,0,7,1,23,1,1,0,72,1,3190,0,1086,0.0,0.10647058823529412,0.0,0.10647058823529412
60.0,5790,0,0,0,1,0.0,1,0,0,840,840,1,0,840,765,0,1605,0,0,2,0,3,8,0,0,0,0,-1,-1,-1,0,4,0,0,5,21,19,35,104,69,2,0,6,32,1,2,0,73,51,3190,0,1605,0.9107142857142857,0.14507772020725387,0.13212435233160622,0.2772020725388601
21.0,1596,0,4,5,1,0.0,1,462,0,0,462,0,0,526,462,0,988,1,0,1,0,2,5,0,0,120,0,-1,1,-1,0,20,0,0,0,15,10,0,46,46,0,9,1,31,2,1,0,74,52,3371,0,988,0.8783269961977186,0.32957393483709274,0.2894736842105263,0.6190476190476191
,8475,0,0,1,1,0.0,1,228,0,724,952,0,2,952,0,0,952,0,0,1,0,2,4,0,0,0,0,-1,-1,-1,0,1,0,0,2,11,20,0,63,63,0,0,1,11,0,1,0,75,1,3950,0,952,0.0,0.11233038348082595,0.0,0.11233038348082595
50.0,8635,0,0,2,1,0.0,1,336,41,295,672,0,0,1072,213,0,1285,1,0,1,0,2,6,1,0,0,0,-1,0,-1,0,4,0,0,0,12,3,53,71,18,0,7,1,33,2,1,0,76,1,4041,0,1285,0.19869402985074627,0.12414591777649102,0.0246670526925304,0.14881297046902142
72.0,10778,0,2,1,1,0.0,1,0,0,1768,1768,1,0,1768,0,0,1768,0,0,2,0,4,8,0,0,0,0,-1,-1,-1,0,7,0,0,0,9,10,0,51,51,1,3,1,7,2,2,0,39,1,3220,0,1768,0.0,0.1640378548895899,0.0,0.1640378548895899
60.0,10440,0,0,0,1,0.0,0,0,0,440,440,0,0,682,548,0,1230,0,0,1,1,2,5,0,0,74,0,-1,0,-1,0,4,1,0,5,21,5,71,109,38,0,7,1,7,1,1,0,77,53,3555,0,1230,0.8035190615835777,0.06532567049808428,0.0524904214559387,0.11781609195402298
100.0,13000,0,0,0,0,576.0,1,448,0,448,896,0,0,1182,960,0,2142,0,0,2,1,4,8,0,0,0,0,-1,-1,-1,0,0,0,0,5,11,16,0,51,51,0,0,3,34,2,0,2,78,54,3524,0,2142,0.8121827411167513,0.09092307692307693,0.07384615384615385,0.16476923076923078
32.0,4500,0,3,1,0,443.0,0,1201,0,36,1237,0,0,1337,0,0,1337,1,0,2,0,2,5,0,0,0,0,-1,-1,-1,0,8,0,0,1,4,7,0,21,21,1,0,3,35,0,1,0,79,55,4712,0,1337,0.0,0.2971111111111111,0.0,0.2971111111111111
78.0,10206,0,0,1,2,468.0,0,33,0,1530,1563,0,0,1563,0,0,1563,0,0,2,0,3,6,0,0,144,0,-1,-1,-1,0,1,0,0,0,5,2,0,12,12,0,0,1,0,0,0,2,80,56,3767,0,1563,0.0,0.15314520870076426,0.0,0.15314520870076426
80.0,8892,0,0,1,3,66.0,1,0,0,1065,1065,0,0,1065,0,0,1065,0,0,1,1,3,6,0,0,74,0,-1,-1,-1,0,1,0,0,2,11,3,0,59,59,0,1,1,7,1,1,0,81,1,4225,5,1065,0.0,0.11977058029689609,0.0,0.11977058029689609
,8530,0,0,5,0,22.0,0,0,0,384,384,0,0,804,670,0,1474,0,0,2,1,3,7,0,0,120,0,-1,-1,0,700,16,0,0,2,22,0,1,24,23,0,3,1,17,1,1,1,82,39,3555,0,1474,0.8333333333333334,0.09425556858147714,0.07854630715123095,0.17280187573270808
